
2024/12/15 (14:49:01) | ===> btop++ v.1.4.0
2024/12/15 (14:49:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (13:48:07) | ===> btop++ v.1.4.0
2024/12/17 (13:48:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (18:25:03) | ===> btop++ v.1.4.0
2024/12/19 (18:25:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (22:18:57) | ===> btop++ v.1.4.0
2024/12/19 (22:18:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (12:12:42) | ===> btop++ v.1.4.0
2024/12/22 (12:12:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (21:33:38) | ===> btop++ v.1.4.0
2024/12/24 (21:33:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (22:33:16) | ===> btop++ v.1.4.0
2024/12/24 (22:33:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (23:42:25) | ===> btop++ v.1.4.0
2024/12/24 (23:42:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (17:35:46) | ===> btop++ v.1.4.0
2024/12/30 (17:35:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (12:42:51) | ===> btop++ v.1.4.0
2025/01/09 (12:42:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (12:46:13) | ===> btop++ v.1.4.0
2025/01/09 (12:46:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (11:00:19) | ===> btop++ v.1.4.0
2025/02/01 (11:00:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (18:31:01) | ===> btop++ v.1.4.0
2025/02/01 (18:31:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (22:51:07) | ===> btop++ v.1.4.0
2025/02/01 (22:51:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (22:52:35) | ===> btop++ v.1.4.0
2025/02/01 (22:52:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (22:54:51) | ===> btop++ v.1.4.0
2025/02/01 (22:54:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (18:55:57) | ===> btop++ v.1.4.0
2025/02/02 (18:55:57) | WARNING: Intel GPU: Failed to initialize PMU

